round_epochs,val_loss,loss,n_batch_size,n_epochs,optimizer,losses,n_neurons,prev_timesteps
106,0.02427030677075049,0.004975002996255515,38,106,<class 'keras.optimizers.RMSprop'>,<function mean_absolute_error at 0x0000019886DA2840>,81,12
154,0.0030180275994496166,8.340460055214799e-05,16,154,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x0000019886DA28C8>,81,3
58,0.021545129799952135,0.008654205322719967,105,58,<class 'keras.optimizers.RMSprop'>,<function mean_absolute_error at 0x0000019886DA2840>,33,1
58,0.0007208471988200372,0.00014036180784878681,105,58,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x0000019886DA28C8>,81,1
10,0.006141385085642391,0.0008576368819214147,83,10,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x0000019886DA28C8>,90,12
58,0.0005898400589530142,0.0001554083333540104,38,58,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x0000019886DA28C8>,5,6
10,0.026577124757880294,0.0004731752646190263,38,10,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x0000019886DA28C8>,71,24
106,0.008115207560704633,8.41999111661552e-05,16,106,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x0000019886DA28C8>,33,1
106,0.005724177643221332,0.003843420178554086,83,106,<class 'keras.optimizers.Adam'>,<function mean_absolute_error at 0x0000019886DA2840>,43,1
10,0.10884523946398658,0.009005704586401934,16,10,<class 'keras.optimizers.RMSprop'>,<function mean_absolute_error at 0x0000019886DA2840>,14,12
10,0.04576629263160321,0.018270568569894185,60,10,<class 'keras.optimizers.Adam'>,<function mean_absolute_error at 0x0000019886DA2840>,14,3
58,0.04919289788949308,0.00451891615425549,16,58,<class 'keras.optimizers.RMSprop'>,<function mean_absolute_error at 0x0000019886DA2840>,52,12
202,0.018343098967191135,0.003929952080580274,38,202,<class 'keras.optimizers.RMSprop'>,<function mean_absolute_error at 0x0000019886DA2840>,71,1
154,0.00013655557073796487,2.3131543954987196e-05,105,154,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x0000019886DA28C8>,52,3
10,0.12891870503009606,0.035180633922133484,38,10,<class 'keras.optimizers.Adam'>,<function mean_absolute_error at 0x0000019886DA2840>,62,12
154,0.017306258035430653,0.005868026600537809,83,154,<class 'keras.optimizers.RMSprop'>,<function mean_absolute_error at 0x0000019886DA2840>,71,3
10,0.003570082934641179,0.0008724241975221466,83,10,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x0000019886DA28C8>,5,1
154,0.0004628080172380949,5.347017986124753e-05,83,154,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x0000019886DA28C8>,52,1
