,device,gpsLat,gpsLon,rx_time,seqNumber,spfact,IPT
628,3432333864377C18,,,2018-12-17 21:15:24.728,,7.0,39.0
629,3432333864377C18,,,2018-12-17 21:15:52.542,,7.0,27.0
633,3432333864377C18,,,2018-12-17 21:19:49.137,,7.0,37.0
634,3432333864377C18,,,2018-12-17 21:20:17.949,,7.0,28.0
635,3432333864377C18,,,2018-12-17 21:20:56.506,,7.0,38.0
636,3432333864377C18,,,2018-12-17 21:21:23.311,,7.0,26.0
638,3432333864377C18,,,2018-12-17 21:23:36.977,,7.0,66.0
639,3432333864377C18,,,2018-12-17 21:23:47.633,,7.0,10.0
640,3432333864377C18,,,2018-12-17 21:24:15.438,,7.0,27.0
654,3432333864377C18,,,2018-12-17 21:32:16.849,,7.0,38.0
655,3432333864377C18,,,2018-12-17 21:32:44.624,,7.0,27.0
656,3432333864377C18,,,2018-12-17 21:33:22.190,,7.0,37.0
657,3432333864377C18,,,2018-12-17 21:33:50.943,,7.0,28.0
658,3432333864377C18,,,2018-12-17 21:34:29.541,,7.0,38.0
659,3432333864377C18,,,2018-12-17 21:34:47.379,,7.0,17.0
660,3432333864377C18,,,2018-12-17 21:35:26.796,,7.0,39.0
661,3432333864377C18,,,2018-12-17 21:35:50.941,,7.0,24.0
664,3432333864377C18,,,2018-12-17 21:38:07.150,,7.0,39.0
665,3432333864377C18,,,2018-12-17 21:38:34.968,,7.0,27.0
666,3432333864377C18,,,2018-12-17 21:39:14.523,,7.0,39.0
667,3432333864377C18,,,2018-12-17 21:39:41.736,,7.0,27.0
668,3432333864377C18,,,2018-12-17 21:40:20.894,,7.0,39.0
669,3432333864377C18,,,2018-12-17 21:40:47.102,,7.0,26.0
670,3432333864377C18,,,2018-12-17 21:41:26.254,,7.0,39.0
671,3432333864377C18,,,2018-12-17 21:41:53.432,,7.0,27.0
672,3432333864377C18,,,2018-12-17 21:42:32.573,,7.0,39.0
673,3432333864377C18,,,2018-12-17 21:42:41.478,,7.0,8.0
683,3432333864377C18,,,2018-12-17 21:48:37.642,,7.0,39.0
684,3432333864377C18,,,2018-12-17 21:49:04.820,,7.0,27.0
685,3432333864377C18,,,2018-12-17 21:49:43.961,,7.0,39.0
686,3432333864377C18,,,2018-12-17 21:50:04.018,,7.0,20.0
699,3432333864377C18,,,2018-12-17 21:58:06.171,,7.0,39.0
700,3432333864377C18,,,2018-12-17 21:58:33.378,,7.0,27.0
702,3432333864377C18,,,2018-12-17 22:00:19.910,,7.0,39.0
703,3432333864377C18,,,2018-12-17 22:00:46.117,,7.0,26.0
704,3432333864377C18,,,2018-12-17 22:01:25.278,,7.0,39.0
705,3432333864377C18,,,2018-12-17 22:01:53.486,,7.0,28.0
706,3432333864377C18,,,2018-12-17 22:02:32.648,,7.0,39.0
707,3432333864377C18,,,2018-12-17 22:02:59.454,,7.0,26.0
708,3432333864377C18,,,2018-12-17 22:03:38.003,,7.0,38.0
709,3432333864377C18,,,2018-12-17 22:04:05.201,,7.0,27.0
710,3432333864377C18,,,2018-12-17 22:04:44.362,,7.0,39.0
